675,804,842
910,863,484
117,159,258
79,147,983
327,349,570
171,583,636
111,849,921
243,568,690
735,122,833
723,694,285
736,657,835
369,150,740
137,641,933
47,59,674
470,621,728
530,931,255
765,342,389
832,450,407
891,243,135
558,459,607
213,783,776
330,667,580
221,454,839
324,280,908
743,134,81
748,20,788
933,221,187
80,280,906
107,96,603
802,15,345
739,662,130
702,54,865
876,151,2
252,524,158
305,863,887
270,655,788
300,462,329
594,978,222
548,402,979
255,474,459
991,355,382
824,61,490
669,6,303
80,491,662
249,230,930
646,302,941
248,870,397
266,356,742
918,674,557
55,430,587
828,694,232
658,513,483
844,902,171
488,707,738
772,84,540
74,819,525
397,215,321
207,966,949
510,70,949
120,442,27
221,966,924
509,495,591
73,860,242
67,985,549
698,919,350
882,13,328
601,736,244
956,291,152
662,448,288
259,877,937
333,540,444
574,110,915
212,233,344
280,970,818
146,234,510
292,473,324
491,316,777
304,102,893
588,297,555
765,285,193
850,917,80
949,461,602
284,192,67
55,770,582
74,17,255
984,1000,615
441,337,878
165,351,185
250,143,676
567,53,612
889,550,930
376,966,347
146,970,145
539,204,109
173,823,617
467,950,322
993,937,725
76,945,697
628,234,959
789,444,416
779,687,350
922,205,275
931,852,678
90,62,82
522,297,604
211,490,515
292,42,240
362,316,979
646,970,654
926,395,394
859,536,291
623,848,503
154,713,763
302,639,892
618,88,907
180,954,336
205,37,431
145,913,732
724,627,696
810,24,474
794,99,133
808,717,490
819,115,608
221,488,22
577,616,957
312,369,121
24,596,581
654,563,514
888,391,908
28,277,27
619,100,992
468,398,344
515,329,592
177,24,899
263,861,658
117,290,60
244,224,893
450,31,695
165,664,55
536,294,874
590,977,908
63,872,131
57,864,794
557,149,924
48,751,268
184,310,44
788,826,163
629,403,742
802,131,686
82,610,972
228,424,792
935,81,222
465,483,639
6,664,222
987,179,184
111,770,601
231,628,715
474,601,654
549,90,688
903,208,622
967,753,939
53,103,416
362,596,388
874,793,766
339,751,234
328,181,548
370,909,621
545,443,66
595,258,77
860,537,628
376,207,504
945,866,541
828,758,811
420,690,847
735,463,259
408,472,994
304,465,530
246,256,818
375,77,842
386,552,283
375,643,817
528,366,69
388,373,369
975,872,828
611,166,699
868,145,898
996,164,726
219,154,587
320,482,945
772,610,850
132,894,439
927,493,472
591,958,132
689,569,433
864,681,794
80,94,446
206,576,43
495,315,708
864,803,3
228,677,402
893,508,557
835,220,379
576,768,700
50,555,944
734,374,519
595,686,580
990,265,51
239,741,0
533,656,683
112,233,518
999,484,895
889,262,945
579,974,629
967,81,281
576,854,166
66,784,388
986,202,359
222,407,708
166,162,641
42,675,190
640,352,605
0,390,248
426,655,924
39,997,405
339,340,624
390,55,763
228,937,908
270,730,204
791,686,200
230,211,731
787,207,306
942,662,889
909,810,160
389,992,825
375,430,757
398,325,967
794,818,204
124,234,922
758,870,900
173,473,487
214,353,257
406,798,735
985,945,326
546,919,344
521,106,417
603,504,439
427,956,81
129,141,849
299,988,966
428,390,349
186,364,85
108,965,166
313,585,673
813,892,735
897,118,183
705,973,57
756,831,900
976,533,907
252,981,29
809,359,168
716,316,105
742,259,706
835,40,994
368,547,424
996,682,480
415,996,622
936,917,570
541,222,13
454,243,80
883,268,780
795,233,689
122,39,50
232,476,426
10,272,23
881,655,151
17,561,771
548,898,880
687,254,406
532,581,499
831,891,836
354,440,866
706,61,655
434,581,847
40,689,144
743,3,384
964,292,412
668,92,253
580,509,239
796,140,141
255,275,655
339,820,954
579,458,404
952,960,444
333,451,829
276,882,466
219,784,237
46,713,312
230,746,562
231,875,673
99,597,732
982,662,474
629,561,335
469,483,186
363,920,882
312,310,707
745,422,248
302,730,673
802,675,565
565,411,55
548,611,124
200,534,707
508,489,678
584,318,7
787,325,878
